disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
sifilis,3548500,Santos,nhits,3.7,4.546,-4.858,62.76,16
sifilis,3548500,Santos,prophet,2.065,2.477,-0.74,47.26,16
sifilis,3548500,Santos,sarima,1.634,1.934,-0.06,40.15,16
sifilis,3548500,Santos,seasonal_ma3,2.354,2.732,-1.116,53.69,16
sifilis,3548500,Santos,seasonal_naive,2.625,3.021,-1.587,59.7,16
sifilis,3548500,Santos,tft,1.736,2.221,-0.399,42.27,16
sifilis,3548500,Santos,xgboost,1.702,1.985,-0.116,42.46,16
sifilis,3552205,Sorocaba,catboost,2.819,3.574,-0.081,121.15,16
sifilis,3552205,Sorocaba,deepar,3.453,4.331,-0.588,133.56,16
sifilis,3552205,Sorocaba,gru,3.472,4.332,-0.589,134.54,16
sifilis,3552205,Sorocaba,lgbm,2.946,3.666,-0.138,123.65,16
sifilis,3552205,Sorocaba,lstm,4.331,5.637,-1.691,130.86,16
sifilis,3552205,Sorocaba,nhits,3.93,5.035,-1.147,136.45,16
sifilis,3552205,Sorocaba,prophet,2.697,3.528,-0.054,112.12,16
sifilis,3552205,Sorocaba,sarima,2.918,3.717,-0.17,119.94,16
sifilis,3552205,Sorocaba,seasonal_ma3,2.729,3.711,-0.166,113.79,16
sifilis,3552205,Sorocaba,seasonal_naive,3.688,4.789,-0.942,137.93,16
sifilis,3552205,Sorocaba,tft,3.073,4.059,-0.396,126.23,16
sifilis,3552205,Sorocaba,xgboost,2.767,3.451,-0.008,119.51,16
sifilis,3548708,São Bernardo do Campo,catboost,1.17,1.59,-0.018,60.88,16
sifilis,3548708,São Bernardo do Campo,deepar,1.127,1.69,-0.15,66.85,16
sifilis,3548708,São Bernardo do Campo,gru,1.265,1.792,-0.293,72.99,16
sifilis,3548708,São Bernardo do Campo,lgbm,1.227,1.617,-0.052,64.02,16
sifilis,3548708,São Bernardo do Campo,lstm,1.328,1.635,-0.076,66.19,16
sifilis,3548708,São Bernardo do Campo,nhits,2.099,2.621,-1.765,104.31,16
sifilis,3548708,São Bernardo do Campo,prophet,1.113,1.569,0.009,63.35,16
sifilis,3548708,São Bernardo do Campo,sarima,1.156,1.556,0.026,63.67,16
sifilis,3548708,São Bernardo do Campo,seasonal_ma3,1.333,1.55,0.033,76.29,16
sifilis,3548708,São Bernardo do Campo,seasonal_naive,1.562,2.077,-0.736,88.64,16
sifilis,3548708,São Bernardo do Campo,tft,1.358,1.846,-0.372,66.79,16
sifilis,3548708,São Bernardo do Campo,xgboost,1.161,1.605,-0.038,62.4,16
sifilis,3549805,São José do Rio Preto,catboost,0.745,0.879,-0.186,76.21,16
sifilis,3549805,São José do Rio Preto,deepar,1.409,1.63,-3.072,118.84,16
sifilis,3549805,São José do Rio Preto,gru,1.438,1.679,-3.322,113.82,16
sifilis,3549805,São José do Rio Preto,lgbm,0.913,1.059,-0.718,82.41,16
sifilis,3549805,São José do Rio Preto,lstm,1.742,2.116,-5.866,104.12,16
sifilis,3549805,São José do Rio Preto,nhits,1.627,1.969,-4.943,144.83,16
sifilis,3549805,São José do Rio Preto,prophet,1.365,1.685,-3.352,85.33,16
sifilis,3549805,São José do Rio Preto,sarima,0.782,0.917,-0.29,80.06,16
sifilis,3549805,São José do Rio Preto,seasonal_ma3,1.187,1.325,-1.693,96.73,16
sifilis,3549805,São José do Rio Preto,seasonal_naive,1.188,1.436,-2.162,120.83,16
sifilis,3549805,São José do Rio Preto,tft,1.377,1.692,-3.388,113.88,16
sifilis,3549805,São José do Rio Preto,xgboost,0.899,1.037,-0.649,81.69,16
sifilis,3549904,São José dos Campos,catboost,2.209,2.638,0.169,41.1,16
sifilis,3549904,São José dos Campos,deepar,2.783,3.574,-0.526,49.84,16
sifilis,3549904,São José dos Campos,gru,2.859,3.32,-0.317,66.06,16
sifilis,3549904,São José dos Campos,lgbm,2.423,2.871,0.015,45.19,16
sifilis,3549904,São José dos Campos,lstm,3.265,3.912,-0.828,53.94,16
sifilis,3549904,São José dos Campos,nhits,3.849,4.366,-1.277,88.18,16
sifilis,3549904,São José dos Campos,prophet,2.584,2.924,-0.021,47.58,16
sifilis,3549904,São José dos Campos,sarima,2.778,3.157,-0.191,50.21,16
sifilis,3549904,São José dos Campos,seasonal_ma3,3.104,3.668,-0.607,57.86,16
sifilis,3549904,São José dos Campos,seasonal_naive,3.188,3.945,-0.859,60.0,16
sifilis,3549904,São José dos Campos,tft,2.474,2.995,-0.072,46.12,16
sifilis,3549904,São José dos Campos,xgboost,2.442,2.852,0.028,45.3,16
sifilis,3550308,São Paulo,catboost,17.364,21.981,-1.209,24.05,16
sifilis,3550308,São Paulo,deepar,11.136,15.675,-0.123,15.09,16
sifilis,3550308,São Paulo,gru,19.143,22.355,-1.285,27.11,16
sifilis,3550308,São Paulo,lgbm,14.324,18.32,-0.534,19.48,16
sifilis,3550308,São Paulo,lstm,20.959,25.022,-1.863,30.5,16
sifilis,3550308,São Paulo,nhits,13.82,17.308,-0.37,18.68,16
sifilis,3550308,São Paulo,prophet,13.305,17.998,-0.481,18.14,16
sifilis,3550308,São Paulo,sarima,14.744,19.963,-0.822,19.95,16
sifilis,3550308,São Paulo,seasonal_ma3,14.313,19.462,-0.732,19.79,16
sifilis,3550308,São Paulo,seasonal_naive,18.688,22.315,-1.277,25.34,16
sifilis,3550308,São Paulo,tft,16.705,20.248,-0.874,23.34,16
sifilis,3550308,São Paulo,xgboost,13.797,18.189,-0.513,19.12,16
sifilis,3551009,São Vicente,catboost,3.289,4.134,-0.26,58.98,16
sifilis,3551009,São Vicente,deepar,3.888,4.999,-0.843,75.12,16
sifilis,3551009,São Vicente,gru,4.045,4.898,-0.769,106.85,16
sifilis,3551009,São Vicente,lgbm,3.065,4.183,-0.291,55.83,16
sifilis,3551009,São Vicente,lstm,4.917,5.939,-1.601,127.81,16
sifilis,3551009,São Vicente,nhits,3.883,4.506,-0.497,64.31,16
sifilis,3551009,São Vicente,prophet,3.738,4.832,-0.722,66.83,16
sifilis,3551009,São Vicente,sarima,3.853,4.974,-0.824,60.63,16
sifilis,3551009,São Vicente,seasonal_ma3,3.667,4.683,-0.617,75.47,16
sifilis,3551009,São Vicente,seasonal_naive,4.688,5.847,-1.521,91.63,16
sifilis,3551009,São Vicente,tft,5.096,6.059,-1.707,97.03,16
sifilis,3551009,São Vicente,xgboost,3.023,4.037,-0.202,57.69,16
sifilis,3554102,Taboão da Serra,catboost,0.481,0.615,-0.114,182.03,16
sifilis,3554102,Taboão da Serra,deepar,0.856,1.005,-1.972,165.77,16
sifilis,3554102,Taboão da Serra,gru,0.313,0.661,-0.287,200.0,16
sifilis,3554102,Taboão da Serra,lgbm,0.449,0.599,-0.055,184.23,16
sifilis,3554102,Taboão da Serra,lstm,0.313,0.661,-0.287,200.0,16
sifilis,3554102,Taboão da Serra,nhits,0.377,0.663,-0.295,190.77,16
sifilis,3554102,Taboão da Serra,prophet,0.525,0.609,-0.093,177.65,16
sifilis,3554102,Taboão da Serra,sarima,0.553,0.617,-0.121,173.85,16
sifilis,3554102,Taboão da Serra,seasonal_ma3,0.521,0.741,-0.614,200.0,16
sifilis,3554102,Taboão da Serra,seasonal_naive,0.562,0.901,-1.391,200.0,16
sifilis,3554102,Taboão da Serra,tft,0.324,0.657,-0.272,199.41,16
sifilis,3554102,Taboão da Serra,xgboost,0.46,0.618,-0.123,186.56,16
