model,disease,horizon,mae,rmse,r2,smape,recall_nz,precision_nz,mae_std_origin,mae_std_seed
prophet,hepatite,1,0.1486273106168545,0.4333172879514708,0.3406861288433076,174.1380486929236,0.3,0.75,0.1093290789704053,
sarima,hepatite,1,0.2439816558581568,0.5580410206249654,-0.403433168068298,189.3637350005789,0.5,0.4166666666666667,0.0821810725037635,
seasonal_ma3,hepatite,1,0.2463768114862234,0.5711227461277097,-0.2093381376714534,155.35790561465882,0.6,0.375,0.1084538362588816,
seasonal_naive,hepatite,1,0.2608695652173913,0.6429099235112598,-0.9148871917739833,160.55555555555554,0.4,0.3333333333333333,0.1547402645221929,
tft,hepatite,1,0.1807214603234866,0.560914659594484,-0.0136993381292112,194.0921397326221,0.2,0.5,0.1020603964667498,
xgboost,hepatite,1,0.2434351894518603,0.5480412972371396,-0.2263632463247383,186.9510418369013,0.6,0.4615384615384615,0.0838660090119502,
catboost,hepatite,3,0.2929033105113137,0.7934507403170085,-3.1176162283456432,185.87689456125068,0.8,0.5333333333333333,0.1597083420230461,
deepar,hepatite,3,0.3297826051509575,0.7732047942061774,0.29169014366981505,186.54554359793354,0.4,0.25,0.1874911480963863,
gru,hepatite,3,0.1943507524173784,0.9112668719120756,0.0161579664822001,192.02677454835185,0.4,0.8,0.1440365365634632,
lgbm,hepatite,3,0.2954825210538506,0.8452260414454157,-5.958658992843041,185.58565722085427,0.7,0.5833333333333334,0.1787003362464366,
lstm,hepatite,3,0.1730164303398742,0.7841514474194008,0.2714923683601816,191.82116667094616,0.5,0.8333333333333334,0.1225632901909539,
nhits,hepatite,3,0.2563515611900189,0.989580990489914,-0.1602107814892062,199.0876842250184,0.1,0.5,0.082007214098609,
prophet,hepatite,3,0.2144313222853812,0.6589406021330851,-0.3386136566104856,161.08914715383253,0.5,0.625,0.1263943416209026,
sarima,hepatite,3,0.2830212500649787,0.810505693769058,-3.936037482889352,186.59099750051348,0.7,0.5384615384615384,0.1527560884002983,
seasonal_ma3,hepatite,3,0.2608695661892061,0.6998320557575657,-1.8695341564227008,161.607142505369,0.6,0.5,0.1424916067412483,
seasonal_naive,hepatite,3,0.2826086956521739,0.9526527967798482,-8.352906412961596,140.83333333333331,0.6,0.4615384615384615,0.152690634099315,
tft,hepatite,3,0.220147460962522,0.864579409336987,0.1143869952493126,194.865885141625,0.3,0.6,0.1557556853302159,
xgboost,hepatite,3,0.2870902359920918,0.7866023675209992,-3.9639563742113193,185.39045209693688,0.8,0.5714285714285714,0.1771336822084246,
catboost,hepatite,6,0.3030495206133324,0.5779132120163444,-0.432384409851184,184.6634494960723,0.4666666666666667,0.4666666666666667,0.1185869687228612,
deepar,hepatite,6,0.44195651757004467,0.7948707793574216,-0.500482806098987,181.5199836047359,0.26666666666666666,0.2222222222222222,0.1728990361364878,
gru,hepatite,6,0.3389799486789354,0.6462763120104604,0.0080850513785388,191.94681989398316,0.2,0.25,0.1693107685777345,
lgbm,hepatite,6,0.2755313091432668,0.546764241249394,-0.726031074749548,183.3363715515237,0.4666666666666667,0.5,0.1101798383987381,
lstm,hepatite,6,0.2415947314965253,0.6125501694997472,0.1089105783544086,192.4249479838889,0.2,0.5,0.1231943413411145,
nhits,hepatite,6,0.1965591063001383,0.5483762371777067,0.2858405064955132,195.81982764897876,0.1333333333333333,1.0,0.1016204856636571,
prophet,hepatite,6,0.2730233056959427,0.5780382171291465,-0.3335107202348951,174.70927289548462,0.2666666666666666,0.4,0.1092884775805938,
sarima,hepatite,6,0.261437433116399,0.5189370631585167,-0.1279693118879967,183.65160783796412,0.4666666666666667,0.4375,0.0798434597618224,
seasonal_ma3,hepatite,6,0.2934782621653183,0.5844951220608603,-0.3837852558034668,165.30663736594414,0.4,0.4285714285714285,0.1020513511885088,
seasonal_naive,hepatite,6,0.3043478260869565,0.6767827662730013,-1.0852510598834133,171.66666666666669,0.2666666666666666,0.3076923076923077,0.1122603868465917,
tft,hepatite,6,0.2394080231511065,0.6369635670162992,0.0364657785026197,192.0500233038712,0.2,0.6,0.1341856676313304,
xgboost,hepatite,6,0.2644489612076026,0.5252655978898286,-0.4663602254408147,183.14243907597216,0.5333333333333333,0.5333333333333333,0.0811431304817724,
catboost,hepatite,12,0.2627785104145394,0.6305223804394554,0.3582168936271386,185.4584356513825,0.7,0.5384615384615384,0.1246946641916681,
deepar,hepatite,12,0.373586954690678,0.9791983199652964,0.13692102340735135,190.25688052635334,0.5,0.3125,0.13104657273071402,
gru,hepatite,12,1.0459470696358562,2.172629555867914,-3.2489398701508847,185.60163069243785,0.9,0.2093023255813953,0.3106157364231523,
