model,disease,horizon,mae,rmse,r2,smape,recall_nz,precision_nz,mae_std_origin,mae_std_seed
catboost,tuberculose,1,3.0383643874879427,5.061912967284762,0.9477148500816333,67.60582718414781,1.0,0.8913043478260869,0.6655569524274687,
deepar,tuberculose,1,2.8564129060377246,5.564223551831591,0.9376678853825787,65.52994693157848,0.975609756097561,0.8888888888888888,0.5210344323139542,
gru,tuberculose,1,2.466567712238706,4.054902428724658,0.9668972909316308,73.9742188564161,0.8902439024390244,0.9125,0.7191945362356095,
lgbm,tuberculose,1,2.827261730656329,4.704861571033444,0.9536047168686004,65.94793263189554,1.0,0.8913043478260869,0.7121301341186856,
lstm,tuberculose,1,2.800061641726643,4.728085397214461,0.9549936965200732,76.45884340284326,0.8902439024390244,0.9125,0.8266688301024583,
nhits,tuberculose,1,3.330316580315729,5.408687461574984,0.9411039059540618,98.1571862409148,0.7804878048780488,0.9552238805970148,0.6540377992486365,
prophet,tuberculose,1,2.525144718781443,3.8475187731598446,0.9656427007810676,64.917095695005,0.951219512195122,0.9069767441860463,1.121584379526717,
sarima,tuberculose,1,3.081144293476625,5.482787209357829,0.9381770382281714,68.10450725637517,1.0,0.9111111111111112,0.5839696237395561,
seasonal_ma3,tuberculose,1,2.4166666975487834,3.2926207465144595,0.9763157661833126,70.6666641936501,0.926829268292683,0.9047619047619048,1.0621236956231237,
seasonal_naive,tuberculose,1,2.869565217391304,4.21870283568466,0.9584809660164268,76.32651212264855,0.902439024390244,0.9135802469135802,0.9624323313555936,
tft,tuberculose,1,2.601551520273737,4.107048967728086,0.9660404065760227,71.88349520970368,0.926829268292683,0.9156626506024096,0.8683474180637262,
xgboost,tuberculose,1,2.819172055824944,4.769571978335558,0.9516788898374496,65.80911599256919,1.0,0.9010989010989012,0.6666314677255916,
catboost,tuberculose,3,2.9221565262442937,5.346647571671627,0.9349556497394268,57.88831394284979,1.0,0.9239130434782608,0.6301339214592732,
deepar,tuberculose,3,2.969565318654413,5.206236987748006,0.9404675377667719,61.43316426179985,0.9647058823529412,0.9213483146067416,0.7061249832848202,
gru,tuberculose,3,2.964155318468566,4.832706332452395,0.9487036115857034,73.61481590908367,0.8823529411764706,0.9375,0.6472940342297236,
lgbm,tuberculose,3,3.01193874933812,5.413899577936639,0.9309148078674432,59.85180481328736,1.0,0.9239130434782608,0.9397447709949716,
lstm,tuberculose,3,2.9267226611871435,5.370112639108278,0.9366607715326892,65.42875110794682,0.9411764705882352,0.9302325581395348,0.6201112031347275,
nhits,tuberculose,3,2.9982467851318084,4.645957552150982,0.9525914738965254,93.59541141847008,0.7647058823529411,0.9558823529411764,0.6120139207155918,
prophet,tuberculose,3,2.792504531607966,4.967523146821782,0.9420993207848444,64.27452838674562,0.9176470588235294,0.951219512195122,0.9978673021562238,
sarima,tuberculose,3,2.93212714699178,5.293116435029907,0.938026361352699,61.62867079010726,0.976470588235294,0.9325842696629212,0.6693234228973878,
seasonal_ma3,tuberculose,3,2.992753622972447,5.152076545283503,0.9337070346319812,65.38810109693998,0.9647058823529412,0.9213483146067416,1.0105859155775798,
seasonal_naive,tuberculose,3,3.5434782608695654,6.004863547127314,0.9114305403486224,73.97258147836791,0.9294117647058824,0.9404761904761904,0.8641133441022519,
tft,tuberculose,3,2.9566329052752773,5.103544284052004,0.9427929235780876,66.5578987196779,0.9294117647058824,0.9404761904761904,0.6419743119122457,
xgboost,tuberculose,3,2.852163902443388,4.797964017617986,0.9474816686823254,59.9761011043273,1.0,0.9239130434782608,0.6900381840140145,
catboost,tuberculose,6,2.733911762252479,4.99450310870126,0.8477818191817382,59.2556594746907,1.0,0.9021739130434784,0.918613538971031,
deepar,tuberculose,6,2.5141304200110226,4.030302592782018,0.9401529823227159,62.18807012067339,0.9759036144578314,0.9,0.6574651408225972,
gru,tuberculose,6,3.1319996708518136,6.67933777125524,0.8356256616620721,70.29843157031193,0.9156626506024096,0.9156626506024096,0.7795222332874863,
lgbm,tuberculose,6,2.812647940456624,5.233614148251166,0.7932817589035335,60.75946974635036,1.0,0.9021739130434784,1.1355001651193477,
lstm,tuberculose,6,2.988697937588491,5.713921965100266,0.8797082576759645,63.214334581885566,0.9879518072289156,0.9111111111111112,0.6059768534513683,
nhits,tuberculose,6,3.012452516309998,5.369283344265415,0.8937815765308907,95.27351581136348,0.7710843373493976,0.9552238805970148,0.6786341892069429,
prophet,tuberculose,6,2.9097179730524925,5.673743027010326,0.7429444383807343,62.49913307995029,0.963855421686747,0.9195402298850576,1.0285181725248704,
sarima,tuberculose,6,2.692127597346173,4.429101031910391,0.8726631337493063,61.0975389209138,0.9879518072289156,0.9213483146067416,0.9001716690982156,
seasonal_ma3,tuberculose,6,3.0072463605067004,5.420103384011275,0.8611480158533749,68.66554859164917,0.9397590361445785,0.9285714285714286,1.1689523761924503,
seasonal_naive,tuberculose,6,3.217391304347826,5.115417616388218,0.8856787493328009,69.2798309996323,0.9397590361445785,0.9397590361445785,0.6574664476645655,
tft,tuberculose,6,3.162631075181391,6.13563989506938,0.8612966562785135,69.87287746718101,0.9518072289156626,0.9186046511627908,0.6793576492628892,
xgboost,tuberculose,6,2.7042186124169305,4.8031410767807285,0.8594422303766395,60.31415291830561,1.0,0.9021739130434784,1.1045145993789818,
catboost,tuberculose,12,2.8589965469399536,4.786807399987152,0.910507032590445,62.03480491580116,1.0,0.9130434782608696,0.3338957823640389,
deepar,tuberculose,12,2.8855434960645177,5.060708756665209,0.9136000269097612,61.43774603291617,0.9761904761904762,0.9111111111111111,0.7070118523326069,
gru,tuberculose,12,2.6658608511738158,4.856077115823535,0.9204459913804576,65.07391612051315,0.9285714285714286,0.9285714285714286,0.6829438422859431,
lgbm,tuberculose,12,2.7416853015563256,4.821824519338786,0.8995534218821933,60.01915322907158,1.0,0.9130434782608696,0.218040062778191,
lstm,tuberculose,12,2.68775871479074,4.553841686353298,0.9300404874075175,61.11768654033962,0.988095238095238,0.912087912087912,0.7437421011656394,
nhits,tuberculose,12,3.369979009179032,6.009669721849299,0.878159372235814,92.72918302081492,0.7619047619047619,0.9411764705882352,0.5481553665641534,
prophet,tuberculose,12,2.884204417322792,5.561466429387923,0.8348470258213584,67.03414875236687,0.9047619047619048,0.926829268292683,0.4907195339937233,
sarima,tuberculose,12,2.728161374238604,4.530977402497216,0.9224173575254568,60.98922995213142,0.9761904761904762,0.9213483146067416,0.3839220186978974,
seasonal_ma3,tuberculose,12,2.673913036675557,4.371878923399186,0.9339607126001562,60.12813407745333,0.9642857142857144,0.9101123595505618,0.5626100786810739,
seasonal_naive,tuberculose,12,3.1195652173913047,5.038373767259851,0.8974995316493901,71.3926116729616,0.9166666666666666,0.927710843373494,0.7909180455378444,
tft,tuberculose,12,2.629660725188644,4.658838606312349,0.9267772138797372,66.36718685076094,0.9523809523809524,0.9302325581395348,0.3005399563838641,
xgboost,tuberculose,12,2.9508786726257075,5.537130911653692,0.8785379285820789,59.37336025593932,1.0,0.9130434782608696,0.2293453226715339,
