model,disease,horizon,n,mae,rmse,r2,smape,mape,origin
seasonal_ma3,hanseniase,12,23,0.3768115963624871,1.0262261369877093,0.3891325607881325,115.95959565221334,19.323671684748884,origin_201912
sarima,hanseniase,12,23,0.7792104053432527,1.8272516226725566,-0.9366785664078632,169.6245357512287,53.377599846841626,origin_201912
lgbm,hanseniase,12,23,0.34827448978569203,0.9534031104572644,0.4727531877690224,158.5221151924383,17.551999500516168,origin_201912
catboost,hanseniase,12,23,0.43554024837665256,0.9762479971201616,0.4471833110250917,162.63274383016454,23.41898987011244,origin_201912
xgboost,hanseniase,12,23,0.3497788499554862,0.9337942686665677,0.494218148632778,157.10686167163018,17.76915528959986,origin_201912
prophet,hanseniase,12,23,0.5237204787529277,1.1845428542581393,0.18611623002121014,170.6496294606653,28.167183919157075,origin_201912
seasonal_naive,hanseniase,1,23,0.34782608695652173,1.4744195615489712,-5.31868131868132,81.81818181818181,19.565217391304348,origin_202012
seasonal_ma3,hanseniase,1,23,0.42028986500657123,0.8653278686982825,-1.1764348212252065,165.75757577050652,31.884058662082836,origin_202012
sarima,hanseniase,1,23,0.5606254634406903,1.2629236193656481,-3.635946923945119,185.4532563797101,43.783306917580575,origin_202012
lgbm,hanseniase,1,23,0.3170442724802637,0.9372856551052884,-1.5534550945702925,180.01825928371568,28.282147638228455,origin_202012
catboost,hanseniase,1,23,0.3618551365813707,0.9237242318351436,-1.4800986564704206,181.59310727946414,31.85462155547069,origin_202012
xgboost,hanseniase,1,23,0.28991345842571364,0.7747096559243388,-0.7444648459873278,180.25461915969564,24.867368627177633,origin_202012
prophet,hanseniase,1,23,0.40274698293747685,0.7584101448203739,-0.6718316833431746,186.60780484874556,32.606134169032245,origin_202012
seasonal_naive,hanseniase,3,23,0.391304347826087,0.8597269536210951,-0.11714285714285744,126.984126984127,29.71014492753623,origin_202012
seasonal_ma3,hanseniase,3,23,0.3043478312699691,0.6255432504568428,0.4085714129039216,144.1269843702684,20.048309581867162,origin_202012
sarima,hanseniase,3,23,0.4964499935993682,1.1532708145754769,-1.0102507413045374,178.82167947993102,30.87803034948698,origin_202012
lgbm,hanseniase,3,23,0.3160078870682954,0.597614407333305,0.4602038961660385,173.89225293126236,20.940910532376815,origin_202012
catboost,hanseniase,3,23,0.31633913571803013,0.5244812769060542,0.5842353068644923,173.88876128137767,22.811430340952125,origin_202012
xgboost,hanseniase,3,23,0.24007925909498465,0.39075124043148457,0.7692252132158985,171.29866746651678,17.7866594514985,origin_202012
prophet,hanseniase,3,23,0.40882495079754266,0.7403365377849156,0.17158873692605914,178.0938248325272,30.36487265585997,origin_202012
seasonal_naive,hanseniase,6,23,0.4782608695652174,0.9555330859059091,-0.11290322580645151,175.51020408163265,40.21739130434783,origin_202012
seasonal_ma3,hanseniase,6,23,0.5652173900085947,1.4328782477959727,-1.5025601350705697,159.18128633569773,45.289855029272,origin_202012
sarima,hanseniase,6,23,0.5006125889232625,1.0111098685442366,-0.2461279607270288,183.46370983030553,43.55275510283916,origin_202012
lgbm,hanseniase,6,23,0.33152675550313665,0.5534427222840015,0.6266541705456501,182.776572354692,25.518595001895054,origin_202012
catboost,hanseniase,6,23,0.28880462396579437,0.4462247296038505,0.7572980796658857,181.77948418163993,23.69821342026677,origin_202012
xgboost,hanseniase,6,23,0.24382148480609708,0.349511596635133,0.8511019114734777,179.19395238432955,22.09592473733684,origin_202012
prophet,hanseniase,6,23,0.48360123210438466,0.9855772176154415,-0.18398787337763345,187.00480610166093,35.52724756608926,origin_202012
seasonal_naive,hanseniase,12,23,0.5652173913043478,1.1978241142570356,-1.4018987341772151,131.61904761904765,51.44927536231884,origin_202012
seasonal_ma3,hanseniase,12,23,0.5652173874170884,0.9194621294948578,-0.4152601626812997,149.49898500841056,46.13526539094206,origin_202012
sarima,hanseniase,12,23,0.7629639540353547,1.3856971354571297,-2.214439289848912,166.8878897684717,68.56338001139785,origin_202012
lgbm,hanseniase,12,23,0.4880293232190302,0.7456667819871531,0.06919612524509022,170.61702574751766,40.63920807600465,origin_202012
catboost,hanseniase,12,23,0.46680999860549877,0.7480675710727431,0.06319274341403058,168.09767891668338,41.717924743124655,origin_202012
xgboost,hanseniase,12,23,0.4954776078786539,0.7397819401870838,0.08383005770485763,168.73065913409386,41.89435154523539,origin_202012
prophet,hanseniase,12,23,0.4042109402933859,0.596456320715086,0.40443950824811037,160.2751782446719,37.398029905545336,origin_202012
seasonal_naive,hanseniase,1,23,0.17391304347826086,0.5107539184552492,-0.3018867924528297,150.0,17.391304347826086,origin_202112
seasonal_ma3,hanseniase,1,23,0.4492753640465114,0.8597269536210953,-2.6886792452830184,188.57142857142856,38.40579727421636,origin_202112
sarima,hanseniase,1,23,0.5001458062830827,0.858390724688281,-2.677221911001238,193.252846842118,47.50337785757754,origin_202112
lgbm,hanseniase,1,23,0.2506954247176316,0.4868302717566869,-0.18278268340383752,190.90952807639357,25.000629675188556,origin_202112
catboost,hanseniase,1,23,0.26660267617312805,0.45306974706721453,-0.024424448389563924,190.9509844608578,26.17308679031696,origin_202112
xgboost,hanseniase,1,23,0.2847810970700305,0.5293529920995649,-0.3984294173535756,191.23252460831003,28.256184510562733,origin_202112
prophet,hanseniase,1,23,0.3303246113968546,0.6312279347365708,-0.988484577906229,192.24432888491182,30.664357308383504,origin_202112
seasonal_naive,hanseniase,3,23,0.4782608695652174,0.8597269536210951,-0.7935779816513755,166.66666666666669,43.47826086956522,origin_202112
seasonal_ma3,hanseniase,3,23,0.5072463828584423,0.7955188612061046,-0.5356779209396041,166.44628100349075,44.20289915540944,origin_202112
sarima,hanseniase,3,23,0.6196196188330245,0.9485113250495231,-1.1831532346434388,178.73075440348552,54.131055871814326,origin_202112
lgbm,hanseniase,3,23,0.452317464479976,0.6555062228648892,-0.04268425663082609,181.3943043803556,39.44374875034543,origin_202112
catboost,hanseniase,3,23,0.4737616595805948,0.6876331214602586,-0.14739447177401588,182.78478308013314,41.64330325632691,origin_202112
xgboost,hanseniase,3,23,0.49328860365178273,0.720084981191291,-0.25824926189271347,182.8846901035516,42.41384965894015,origin_202112
prophet,hanseniase,3,23,0.48157614308570157,0.7263480429373743,-0.28023212222186444,175.93865182108817,41.3002140714686,origin_202112
seasonal_naive,hanseniase,6,23,0.9130434782608695,3.7821089125099183,0.14089464123524065,143.43434343434342,12.608695652173912,origin_202112
seasonal_ma3,hanseniase,6,23,0.9130434704863507,3.3107933238967666,0.3416717260044365,172.34588986312312,23.69565222574317,origin_202112
sarima,hanseniase,6,23,1.0603119011603943,3.4073293055091,0.3027210042030183,189.7886290151783,38.588275816696495,origin_202112
lgbm,hanseniase,6,23,0.8233556029173844,3.2509901977462077,0.3652398031754792,188.9108272474828,17.390442331514418,origin_202112
catboost,hanseniase,6,23,0.9277046542261543,3.643108920099226,0.20288188722062162,190.85891755223204,18.908994667531186,origin_202112
xgboost,hanseniase,6,23,0.8130140927336786,3.222459035613775,0.37633240883804653,188.8530807538037,16.73176527833161,origin_202112
prophet,hanseniase,6,23,0.8916312500237048,3.3347477941803785,0.33211090280785804,184.45646130884953,23.740279075553556,origin_202112
seasonal_naive,hanseniase,12,23,0.43478260869565216,0.7801894976054939,-1.6833333333333336,125.0,43.47826086956522,origin_202112
seasonal_ma3,hanseniase,12,23,0.3913043452345807,0.6482976593143492,-0.852777777777779,122.49999872595072,39.13043452345807,origin_202112
sarima,hanseniase,12,23,0.7430877265236948,1.479982587773654,-8.655786128332366,173.41714484828486,74.30877265236948,origin_202112
lgbm,hanseniase,12,23,0.398026429380807,0.5951988544682896,-0.5617035566219386,170.87000412139759,39.8026429380807,origin_202112
catboost,hanseniase,12,23,0.342891219354614,0.4854965080194908,-0.03907440474361845,167.25438872267674,34.289121935461395,origin_202112
xgboost,hanseniase,12,23,0.4381694008960672,0.6735045603777011,-0.9996569984784791,169.6033392350937,43.81694008960672,origin_202112
prophet,hanseniase,12,23,0.5091223348014262,0.7479601553507911,-1.466217370183073,173.1971741947045,50.91223348014262,origin_202112
seasonal_naive,hanseniase,1,23,0.13043478260869565,0.3611575592573076,0.43442622950819676,150.0,13.043478260869565,origin_202212
seasonal_ma3,hanseniase,1,23,0.3043478364529817,0.655707045414266,-0.8642988922600368,181.95488767091774,25.362319531648055,origin_202212
sarima,hanseniase,1,23,0.348113763793979,0.5570688823683946,-0.34559275658178734,186.88658967527562,34.620989296261385,origin_202212
lgbm,hanseniase,1,23,0.29342046308079534,0.4510676234725533,0.11777542213115821,190.0804252831942,27.790046964624064,origin_202212
catboost,hanseniase,1,23,0.271641470692554,0.40952678717365126,0.27278894918559893,188.11276151082924,27.0438043736324,origin_202212
