model,disease,horizon,mae,rmse,smape
lgbm,hepatite,6,0.27553130914326684,0.546764241249394,183.33637155152374
lgbm,hepatite,12,0.2459216096994417,0.6173906946029369,185.5643688934844
lgbm,hiv_aids,1,2.8381935013681594,6.752846391115111,71.84092172923059
lgbm,hiv_aids,3,2.419662790479003,4.58026677564096,85.07721568503017
lgbm,hiv_aids,6,2.3261183823664955,3.7332296491826717,92.75525395204257
lgbm,hiv_aids,12,3.269622654129792,6.564858173455278,85.11323708853
lgbm,sifilis,1,2.6855279960186023,4.774335778746134,85.90002671866816
lgbm,sifilis,3,2.6629361903156825,4.759969233246502,83.7842181334327
lgbm,sifilis,6,2.5081432187976724,3.618548507121414,82.57500986745849
lgbm,sifilis,12,2.9318857988123637,5.450071447931581,82.28364200496021
lgbm,tuberculose,1,2.827261730656329,4.704861571033444,65.94793263189554
lgbm,tuberculose,3,3.0119387493381202,5.413899577936639,59.85180481328736
lgbm,tuberculose,6,2.8126479404566234,5.233614148251166,60.75946974635036
lgbm,tuberculose,12,2.7416853015563256,4.821824519338786,60.01915322907158
prophet,hanseniase,1,0.4067814661200957,0.7991704774227912,188.5837330674691
prophet,hanseniase,3,0.5285264311681546,0.9290539647015521,182.97169397083283
prophet,hanseniase,6,0.5937234815354226,1.6264930948898173,179.94043289631088
prophet,hanseniase,12,0.4637196607709252,0.8069992712685832,172.3984991033181
prophet,hepatite,1,0.14862731061685458,0.43331728795147084,174.1380486929236
prophet,hepatite,3,0.21443132228538125,0.6589406021330851,161.08914715383253
prophet,hepatite,6,0.2730233056959427,0.5780382171291465,174.70927289548462
prophet,hepatite,12,0.2244246670472661,0.7427282192261307,164.39635796961795
prophet,hiv_aids,1,3.9300599272703756,9.71145639556409,96.27312028163279
prophet,hiv_aids,3,2.9736690277937674,5.843169729909285,100.97636641400786
prophet,hiv_aids,6,3.261882229841873,7.435568319488188,123.6708636273772
prophet,hiv_aids,12,3.020434852526445,6.112303643060342,108.68307214026609
prophet,sifilis,1,2.732771249369576,4.615504727111828,88.67563754860277
prophet,sifilis,3,2.422709693528456,4.014118384643403,78.99073830788097
prophet,sifilis,6,2.527546587764818,3.596302587692504,82.79692019115936
prophet,sifilis,12,3.135601628521468,5.841658882215734,81.52516711038606
prophet,tuberculose,1,2.525144718781443,3.8475187731598446,64.917095695005
prophet,tuberculose,3,2.792504531607966,4.967523146821782,64.27452838674562
prophet,tuberculose,6,2.9097179730524925,5.673743027010326,62.49913307995029
prophet,tuberculose,12,2.884204417322792,5.561466429387923,67.03414875236687
sarima,hanseniase,1,0.5496926889400524,1.0743822200456732,188.05858998651428
sarima,hanseniase,3,0.6188818448635689,1.1450041895962388,184.33286780923694
sarima,hanseniase,6,0.7385420470764865,1.8067413545678221,184.06532919043346
sarima,hanseniase,12,0.7096826938365628,1.4459983185066188,173.37163232830318
sarima,hepatite,1,0.24398165585815687,0.5580410206249654,189.36373500057894
sarima,hepatite,3,0.2830212500649787,0.810505693769058,186.59099750051348
sarima,hepatite,6,0.26143743311639905,0.5189370631585167,183.65160783796415
sarima,hepatite,12,0.2628483218379096,0.6553384173408588,186.02368561865444
sarima,hiv_aids,1,2.5218068185697673,5.299017003397556,86.68239587547157
sarima,hiv_aids,3,2.1618790688782767,3.6840738583735666,98.95871488355502
sarima,hiv_aids,6,2.919051539476799,6.158878982626557,112.86862125448187
sarima,hiv_aids,12,3.2698529337978237,5.57130573513456,108.87551910712764
sarima,sifilis,1,2.581582171923441,4.690911101021776,84.64190684256046
sarima,sifilis,3,2.8055818600013205,4.680578134362114,85.65066814908121
sarima,sifilis,6,2.3267743210105793,3.3339378548182186,81.18038297039126
sarima,sifilis,12,3.2903131690362226,6.287424369485253,80.61480819227849
