disease,origin,horizon,variant,mae,rmse
hiv_aids,origin_202212,12,full,2.7750007516911706,4.299744711363638
hiv_aids,origin_202212,12,sem_clima,3.181269793939784,6.013566171421761
sifilis,origin_201912,1,full,3.343713727260504,8.140933858433229
sifilis,origin_201912,1,sem_clima,2.6481526054708824,5.06894573033406
sifilis,origin_201912,3,full,4.184734854738684,10.565242274739326
sifilis,origin_201912,3,sem_clima,3.50863301962721,6.937073355921035
sifilis,origin_201912,6,full,2.1128339629998663,2.798523201217784
sifilis,origin_201912,6,sem_clima,2.024762732357881,2.818715690735044
sifilis,origin_201912,12,full,3.605038358598133,8.861385375061499
sifilis,origin_201912,12,sem_clima,3.487662831561088,7.206158981390852
sifilis,origin_202012,1,full,2.1673877446811964,2.707261887508936
sifilis,origin_202012,1,sem_clima,2.809304195869337,4.517901352414966
sifilis,origin_202012,3,full,1.9790063663333322,3.3724257997230564
sifilis,origin_202012,3,sem_clima,2.373781248535599,4.491928598557977
sifilis,origin_202012,6,full,2.0597157769413066,2.791194139111771
sifilis,origin_202012,6,sem_clima,2.1169850918558097,3.0284138753469723
sifilis,origin_202012,12,full,3.213880098489526,4.751575344132601
sifilis,origin_202012,12,sem_clima,2.893460406711292,3.9545826639803026
sifilis,origin_202112,1,full,2.7586643251476644,4.275515891859362
sifilis,origin_202112,1,sem_clima,2.7765663571694303,4.5340478783661675
sifilis,origin_202112,3,full,2.793192930645931,4.203026840321051
sifilis,origin_202112,3,sem_clima,2.2824582401733795,3.1291488336926396
sifilis,origin_202112,6,full,3.6056850904809976,5.384137286983692
sifilis,origin_202112,6,sem_clima,3.4321701870643655,5.238013455415678
sifilis,origin_202112,12,full,2.635650112195292,4.287674871360511
sifilis,origin_202112,12,sem_clima,2.478873673904003,4.1282255043276805
sifilis,origin_202212,1,full,2.4054806230991086,5.240723810275295
sifilis,origin_202212,1,sem_clima,2.568052552591999,5.865966737682943
sifilis,origin_202212,3,full,2.850980370258847,4.48654157258237
sifilis,origin_202212,3,sem_clima,3.2405247548214073,5.279106269711223
sifilis,origin_202212,6,full,2.2957027189116235,3.0083871184688613
sifilis,origin_202212,6,sem_clima,2.441852540648439,3.465510472500095
sifilis,origin_202212,12,full,2.963624584504852,4.75732294813869
sifilis,origin_202212,12,sem_clima,2.630274229214012,4.295580144073386
tuberculose,origin_201912,1,full,2.8537892938132927,4.135157599777323
tuberculose,origin_201912,1,sem_clima,2.6390672964311928,3.668623670652132
tuberculose,origin_201912,3,full,2.670160081352478,4.366623243044182
tuberculose,origin_201912,3,sem_clima,2.676465215578528,4.491330365729732
tuberculose,origin_201912,6,full,3.3789317369051584,7.64947886104086
tuberculose,origin_201912,6,sem_clima,3.2176026354130376,6.8570122039111405
tuberculose,origin_201912,12,full,3.0594993678236637,6.556751014287161
tuberculose,origin_201912,12,sem_clima,2.852698232222508,5.34927807588933
tuberculose,origin_202012,1,full,2.007186773274555,3.1136262626807936
tuberculose,origin_202012,1,sem_clima,2.0971179945026,3.7833236415047495
tuberculose,origin_202012,3,full,2.150525072206943,2.770627302998938
tuberculose,origin_202012,3,sem_clima,2.0470560154308806,2.7066886679282054
tuberculose,origin_202012,6,full,1.5357043264944863,2.40143230304152
tuberculose,origin_202012,6,sem_clima,1.5102468553392792,2.3860750069534395
tuberculose,origin_202012,12,full,2.473689831188782,4.008227281479896
tuberculose,origin_202012,12,sem_clima,2.4875070356266678,3.9511842758527402
tuberculose,origin_202112,1,full,2.401052458703279,3.873063964580354
tuberculose,origin_202112,1,sem_clima,2.8463928190070913,5.320128468274626
tuberculose,origin_202112,3,full,3.1154861428222738,4.567543849940945
tuberculose,origin_202112,3,sem_clima,2.6672666122377175,3.881254533813404
tuberculose,origin_202112,6,full,2.54712964775002,3.478486898549739
tuberculose,origin_202112,6,sem_clima,2.590783275429578,3.4413464902463544
tuberculose,origin_202112,12,full,2.717690583033314,3.6255406993706214
tuberculose,origin_202112,12,sem_clima,2.559099268929757,3.349236692009465
tuberculose,origin_202212,1,full,3.555720266160214,5.909956153845626
tuberculose,origin_202212,1,sem_clima,3.4359779471916845,5.393693388901278
tuberculose,origin_202212,3,full,3.5119579995852757,7.304382944507143
tuberculose,origin_202212,3,sem_clima,4.2060724642375105,9.513814856849997
tuberculose,origin_202212,6,full,3.3413784761878738,5.265879875333137
tuberculose,origin_202212,6,sem_clima,3.3044735795593057,5.029064705066897
tuberculose,origin_202212,12,full,2.7961949126369867,6.122393130218022
tuberculose,origin_202212,12,sem_clima,2.7372999377296323,6.293075194220626
